address,symbol,decimals,address_quipuswap,kind,thumbnail_uri,active,name,description,homepage
KT1Gf5JGXC1M8GMji58pKraXiRLkzW2NRK1s_0,TOKENS,2,KT1ANEFHasacTTZxGPmQmZo7spj5YuLE6TL4,FA2,https://user-images.githubusercontent.com/576184/118975372-3e72fc00-b974-11eb-9fa8-f0e86f4b1e31.png,t,Tokens,,
KT1Vbrnm5HHc1j6ePoxJWyY92cxgVLkMUi9Y_0,HUNC,2,KT1Ji39TrkVBd6L2SL7H4u9yvA1sPuSygthq,FA2,https://i.imgur.com/dcErUZK.png,t,HUNC,The official token of the HUNCs,
KT1GRSvLoikDsXujKgZPsGLX8k8VvR2Tq95b,PLENTY,18,KT1X1LgNkQShpF9nRLYw3Dgdy4qp38MX617z,FA1.2,https://raw.githubusercontent.com/Plenty-DeFi/Plenty-Logo/main/PlentyTokenIcon.png,t,Plenty DAO,,
KT1JWJSB6wkAEm3TGk9WUFHWNstBTKvuXsMC_0,MIL,2,KT1LZqFas2GEUe5z5CFkL9Wqq6tZFzQbopm8,FA2,https://ipfs.io/ipfs/QmUpnopKukCaZs38X9hFR3GxjsVk6Jecu7zuhACWU5KqN2,t,VETHELP,The first Tezos Token supporting all U.S. Military Veterans and their families,
KT1BRXzrMA8qHp9RkZmftV1YLCTdNrEXXBvu_0,BISA,3,KT1MrzcYWmMbPf3ftyKKH5RaMUVhQSXpZXjP,FA2,BISA,t,BISA,,
KT1SrgAVEF2jce4c2p1JAykWSGGzRgDwqmuL_0,TQLA,8,KT1SKEp4kiJSSfKG6FJiRV3ckympSuLhfCH6,FA2,https://cryptocurrencytoday.net/images/TQLA-logo350x350.png,t,Tequila,,
KT1N77LZAWvhEpMnq8rLhA3vpNcbXGsGqBpW_0,DJKHALED,3,KT1WnUVk9Z1Ua2UEHEraNRw48LYkmPvHbJwG,FA2,https://gifimage.net/wp-content/uploads/2017/09/another-one-dj-khaled-gif.gif,t,Another One,,
KT194SeMyG2Esh79sjTQjEBJuGeJmTbUn1gP_0,FuADA,6,KT1DxE2SLAVXWfbzAKHtKzdf4cvCSQtdVwUT,FA2,https://static.thenounproject.com/png/197746-200.png,t,FU ADA,,
KT1AyVdjSZffJtiMkdwwztEK7ePVyTogzogr_0,ptai,4,KT1TtpMxWwAR41b8f8k4ujqjd8YoWvYDR5tN,FA2,http://painters.ai/ptai.png,t,Painters.ai,Utility token for Painters.ai,
KT18fp5rcTW7mbWDmzFwjLDUhs5MeJmagDSZ_2,wCEL,4,KT1KuV43iebbbrkBMGov2QMgAbsnAksx6ncW,FA2,https://ipfs.io/ipfs/QmfNuyU3V6XeS9PgVXMDq4h5ux1VciUXtApP2ZGC4VSGLd,t,Wrapped CEL,,
KT18fp5rcTW7mbWDmzFwjLDUhs5MeJmagDSZ_3,wCOMP,18,KT1DA8NH6UqCiSZhEg5KboxosMqLghwwvmTe,FA2,https://ipfs.io/ipfs/QmYy2jUUE69W5eE9uwh4x5LqUxHt3GVy8sjXHhpViqCspG,t,Wrapped COMP,,
KT18fp5rcTW7mbWDmzFwjLDUhs5MeJmagDSZ_4,wCRO,8,KT1GSjkSg6MFmEMnTJSk6uyYpWXaEYFahrS4,FA2,https://ipfs.io/ipfs/QmUuhxgCm2EXwddpU8ofBBh9z1qzxf2BJRbxxR1ebYr8Hd,t,Wrapped CRO,,
KT18fp5rcTW7mbWDmzFwjLDUhs5MeJmagDSZ_6,wFTT,18,KT1SzCtZYesqXt57qHymr3Hj37zPQT47JN6x,FA2,https://ipfs.io/ipfs/QmVBjgrJiUynv72MR6rRyUu1WLKX52bWGiKk7H2CaFDRNW,t,Wrapped FTT,,
KT18fp5rcTW7mbWDmzFwjLDUhs5MeJmagDSZ_7,wHT,18,KT1GsTjbWkTgtsWenM6oWuTuft3Qb46p2x4c,FA2,https://ipfs.io/ipfs/Qmayt4JbYTkQinNUeVGLhp51LTRMD1273HRgo9p96SoQaM,t,Wrapped HT,,
KT18fp5rcTW7mbWDmzFwjLDUhs5MeJmagDSZ_8,wHUSD,8,KT1AN7BBmeSUN5eDDQLEhWmXv1gn4exc5k8R,FA2,https://ipfs.io/ipfs/QmT9bozupnmWjmjnXp8KcZqDY9HYLLr5KgojfxqgoWRgCt,t,Wrapped HUSD,,
KT18fp5rcTW7mbWDmzFwjLDUhs5MeJmagDSZ_12,wMKR,18,KT1MaefGJRtu57DiVhQNEjYgTYok3X71iEDj,FA2,https://ipfs.io/ipfs/QmPTob6YP9waErN4gMXqHg6ZyazSFB9CEojot4BB2XPpZJ,t,Wrapped MKR,,
KT18fp5rcTW7mbWDmzFwjLDUhs5MeJmagDSZ_13,wOKB,18,KT1NQyNPXmjYktNBDhYkBKyTGYcJSkNbYXuh,FA2,https://ipfs.io/ipfs/QmPpmuLw4i9qJLMmGjXrGxrcPBwTiNZgLGuh7kYXeyTdyA,t,Wrapped OKB,,
KT18fp5rcTW7mbWDmzFwjLDUhs5MeJmagDSZ_16,wUNI,18,KT1Ti3nJT85vNn81Dy5VyNzgufkAorUoZ96q,FA2,https://ipfs.io/ipfs/QmQBezdVvotCGnFHgQNKduLdxEJhfgruSEqtwnWY7mESb2,t,Wrapped UNI,,
KT1A5P4ejnLix13jtadsfV9GCnXLMNnab8UT_0,KALAM,10,KT1J3wTYb4xk5BsSBkg6ML55bX1xq7desS34,FA2,https://ipfs.io/ipfs/Qme9FX9M7o2PZt9h6rvkUbfXoLpQr1HsuMQi6sL5Y75g3A,t,Kalamint,,
